,title,author,rating,price(₹),reading_age,page,language,publisher,weight(g),quantity,country,description
0,Don't Believe Everything You Think (English),Joseph Nguyen,4.5,184,12 years and up,128,English,"Manjul Publishing House; First Edition (25 November 2022); Manjul Publishing House Pvt. Ltd., 2nd Floor, Usha Preet Complex, 42 Malviya Nagar, Bhopal - 462003 - India",80 g,1 Count,India,"Joseph Nguyen is a spiritual thought leader who has a mission of helping others realize their divine purpose, unlock the infinite potential of their own mind, and live an abundant life free from psychological suffering. He spends most of his time writing, coaching, teaching, speaking, and sharing timeless wisdom to help people discover their own divinity from within and how they are the answer they’ve been looking for their entire lives."
1,Attitude is Everything change your attitude change your life!,Jeff Keller,4.5,119, 14 years and up,144,no language,Collins; 1st edition (25 May 2015); HarperCollins Publishers; Product Safety Manager; enquiries@harpercollins.ie,225 g,250.00 Grams,India,"Do you dread going to work? Do you feel tired, unhappy, weighed down? Have you given up on your dreams? The road to a happier, more successful life starts with your attitude--and your attitude is within your control.Whether your outlook is negative, positive or somewhere in between, Jeff Keller, motivational speaker and coach, will show you how to take control and unleash your hidden potential through three powerful steps:--THINK! Success begins in the mind. The power of attitude can change your destiny.--SPEAK! Watch your words. How you speak can propel you towards your goals.--ACT! Don't sit back. Take active steps to turn your dreams into reality.Soon, you will be energized and see new possibilities. You will be able to counter adversities and develop talents unique to you. Your relationships will improve, both at work and in your personal life. All you need is this step-by-step programme to change your attitude and your life!"
2,Dopamine Detox: A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,Thibaut Meurisse,4.4,173, 16 years and up,80,English,"Wisdom Tree; First Edition (13 May 2023); Wisdom Tree, 4779/23, Ansari Road, New Delhi-2. www.wisdomtreeindia.com, wisdomtreebooks@gmail.com",100 g,no quantity,India,no description
3,Deewar Mein Ek Khidki Rahti Thi । दीवार में एक खिड़की रहती थी [ साहित्य अकादमी पुरस्कार से पुरस्कृत उपन्यास ],Vinod Kumar Shukla,4.4,179,no reading age,248,Hindi,"Hind Yugm; First Edition (26 December 2023); Hind Yugm, C-31, Sector-20, Noida (UP)-201301. Ph-0120-4374046",185 g,1 Count,India,"भाषा पर तो विनोद कुमार शुक्ल का अपने ढंग का अधिकार है ही-प्रेमचंद और जैनेंद्र के बाद इतनी सादा, रोज़मर्रा भाषा में शायद ही किसी और में अभिव्यक्ति की ऐसी क्षमता हो– लेकिन इस उपन्यास में उन्होंने संभाषण की कई भाषाएँ और शैलियाँ ईजाद की हैं–एक वह जिसमें रघुवर प्रसाद लोगों से बोलते हैं, दूसरी वह जिसमें वे ख़ुद से बोलते हैं, तीसरी वह जिसमें रघुवर प्रसाद और सोनसी अपने एकांत में बोलते हैं और चौथी वह जिसमें रघुवर प्रसाद परिवार आपस में बात करता है जिसमें हल्की-सी आंचलिकता मिली हुई है, और पाँचवीं वह जिसमें विभागाध्यक्ष और पाचार्य बोलते हैं–सबसे ‘ठेठ’ वही है। एक और अद्भुत भाषा वह है जिसमें बोलने वाला और सुननेवाला बारी-बारी कहते कुछ हैं और सुनते कुछ और हैं और यह एक और ही अर्थबाहुल्य स्निग्धता को जन्म देता है।"
4,Psychopathology of Everyday Life by Sigmund Freud [Premium Paperback] Introduction to Psychology | Discover the Power of Subconscious Mind | Human Psychology Books | Author of Interpretation of Dreams,Sigmund Freud,4.5,142,no reading age,192,no language,One Point SixTechnologies Pvt Ltd (24 January 2025); One Point SixTechnologies Pvt Ltd,250 g,1 Count,India,no description
5,"The Science of Self-Discipline: The Willpower, Mental Toughness and Self-Control to Resist Temptation and Achieve Your Goals",Peter Hollins,4.5,303,10 years and up,184,English,"Wisdom Tree (14 October 2021); Wisdom Tree, 4779/23, Ansari Road, New Delhi-2. www.wisdomtreeindia.com, wisdomtreebooks@gmail.com",250 g,no quantity,India,no description
6,The Hidden Hindu Trilogy: A Mythological Adventure (Set of 3 books ) | Complete Boxset of Epic Tales and Mysteries | Perfect for Fans of Mythology and Spirituality,Akshat Gupta,4.5,485, 14 years and up,762,English,Penguin eBury Press (25 March 2024); Penguin,520 g,3 Piece,India,Akshat Gupta
7,Heart Lamp: Selected Stories | WINNER OF THE INTERNATIONAL BOOKER PRIZE 2025,Dr Banu Mushtaq,4.4,259,no reading age,224,English,India Penguin (15 April 2025),160 g,500.00 Grams,India,"‘A significant presence in Kannada literature, Banu Mushtaq reveals the varied realities of contemporary women with rare talent and art. Deepa Bhasthi’s rich translation captures the original’s nuances of voice, context and experience, bringing this important work into English for new readers in India and internationally.’ -- the English PEN Award ―"
8,The Blue Umbrella,Ruskin Bond,4.5,113, 9 years and up,90,English,Rupa Publications India; Latest Edition (7 January 1992); Rupa Publications India,73 g,1 Piece,India,"Ruskin Bond's first novel, The Room on the Roof, written when he was seventeen, won the John Llewellyn Rhys Memorial Prize in 1957. Since then he has written several novels (including Vagrants in the Valley, A Flight of Pigeons and Delhi Is Not Far), essays, poems and children's books, many of which have been published by Penguin India. He has also written over 500 short stories and articles that have appeared in a number of magazines and anthologies. He received the Sahitya Akademi Award in 1993 and the Padma Shri in 1999."
9,White Nights Fyodor Dostoevsky [Premium Paperback] | A Tale of Love & Loneliness | 50 Greatest Short Stories | Short Stories of Dostoevsky | Classics Books | Literature Books | White Nights Book,Fyodor Dostoevsky,4.7,96,no reading age,96,no language,One Point SixTechnologies Pvt Ltd (13 December 2024); One Point SixTechnologies Pvt Ltd,150 g,1 Count,India,no description
10,"Can We Be Strangers Again?: A moving tale of love, loyalty and the bittersweet beauty of letting go",Shrijeet Shandilya,4.4,204,no reading age,232,English,Penguin eBury Press (20 March 2025),170 g,500.00 Grams,India,"Shrijeet Shandilya is a writer who discovers stories in the smallest moments: lingering discussions, spoken silences, and memories that refuse to fade. He finished his undergraduate studies at Christ University and is now pursuing his MBA at Goa Institute of Management. Somewhere between surviving deadlines and making sense of life, he discovered his love for writing. His writing incorporates comedy, nostalgia, and passion, portraying the bittersweetness of growing up, moving on, and everything in between. His debut novel,"
11,The Secret of Secrets: The thriller of thrillers from the bestselling author of THE DA VINCI CODE (Robert Langdon Book 6),Dan Brown,4.3,no price,no reading age,675,English,Transworld Digital (9 September 2025),no weight,no quantity,no country,--This text refers to the
12,"How to Be Happy with Who You Are | Puffin Chapter Book | Full-colour, Gorgeous Illustrations | Perfect Introduction to Sudha Murty | Ages 5+",Sudha Murty,4.7,188,5 years and up,44,English,Puffin (25 August 2025); Penguin,200 g,500 Count,India,no description
